time;knee_angle_l;% Gait Cycle
1.37;-17.0699434;10.04081633
1.371;-17.13095267;10.12244898
1.372;-17.19046368;10.20408163
1.373;-17.24848286;10.28571429
1.374;-17.30501733;10.36734694
1.375;-17.36007424;10.44897959
1.376;-17.41366086;10.53061224
1.377;-17.46578475;10.6122449
1.378;-17.51645404;10.69387755
1.379;-17.5656774;10.7755102
1.38;-17.61346348;10.85714286
1.381;-17.65982091;10.93877551
1.382;-17.70475862;11.02040816
1.383;-17.74828595;11.10204082
1.384;-17.79041264;11.18367347
1.385;-17.83114843;11.26530612
1.386;-17.87050301;11.34693878
1.387;-17.90848638;11.42857143
1.388;-17.9451088;11.51020408
1.389;-17.98038075;11.59183673
1.39;-18.01431275;11.67346939
1.391;-18.04691534;11.75510204
1.392;-18.07819926;11.83673469
1.393;-18.1081754;11.91836735
1.394;-18.13685471;12
1.395;-18.16424819;12.08163265
1.396;-18.19036694;12.16326531
1.397;-18.21522219;12.24489796
1.398;-18.23882513;12.32653061
1.399;-18.2611869;12.40816327
1.4;-18.28231871;12.48979592
1.401;-18.30223188;12.57142857
1.402;-18.32093777;12.65306122
1.403;-18.33844762;12.73469388
1.404;-18.35477242;12.81632653
1.405;-18.36992332;12.89795918
1.406;-18.38391156;12.97959184
1.407;-18.39674838;13.06122449
1.408;-18.40844479;13.14285714
1.409;-18.41901148;13.2244898
1.41;-18.4284593;13.30612245
1.411;-18.43679921;13.3877551
1.412;-18.4440421;13.46938776
1.413;-18.45019855;13.55102041
1.414;-18.45527876;13.63265306
1.415;-18.45929306;13.71428571
1.416;-18.4622519;13.79591837
1.417;-18.46416564;13.87755102
1.418;-18.46504424;13.95918367
1.419;-18.46489719;14.04081633
1.42;-18.46373412;14.12244898
1.421;-18.46156483;14.20408163
1.422;-18.45839898;14.28571429
1.423;-18.45424575;14.36734694
1.424;-18.44911384;14.44897959
1.425;-18.44301208;14.53061224
1.426;-18.4359495;14.6122449
1.427;-18.42793505;14.69387755
1.428;-18.41897702;14.7755102
1.429;-18.40908292;14.85714286
1.43;-18.3982607;14.93877551
1.431;-18.38651861;15.02040816
1.432;-18.37386458;15.10204082
1.433;-18.36030613;15.18367347
1.434;-18.34585027;15.26530612
1.435;-18.33050424;15.34693878
1.436;-18.31427547;15.42857143
1.437;-18.29717123;15.51020408
1.438;-18.27919826;15.59183673
1.439;-18.26036264;15.67346939
1.44;-18.24067075;15.75510204
1.441;-18.22012925;15.83673469
1.442;-18.19874469;15.91836735
1.443;-18.17652302;16
1.444;-18.15346957;16.08163265
1.445;-18.12959005;16.16326531
1.446;-18.10489045;16.24489796
1.447;-18.07937671;16.32653061
1.448;-18.05305415;16.40816327
1.449;-18.0259275;16.48979592
1.45;-17.9980019;16.57142857
1.451;-17.96928283;16.65306122
1.452;-17.93977571;16.73469388
1.453;-17.90948538;16.81632653
1.454;-17.87841609;16.89795918
1.455;-17.84657254;16.97959184
1.456;-17.81395984;17.06122449
1.457;-17.78058304;17.14285714
1.458;-17.74644664;17.2244898
1.459;-17.71155461;17.30612245
1.46;-17.67591139;17.3877551
1.461;-17.63952185;17.46938776
1.462;-17.60239088;17.55102041
1.463;-17.56452284;17.63265306
1.464;-17.52592157;17.71428571
1.465;-17.48659143;17.79591837
1.466;-17.44653728;17.87755102
1.467;-17.40576402;17.95918367
1.468;-17.36427604;18.04081633
1.469;-17.32207727;18.12244898
1.47;-17.27917217;18.20408163
1.471;-17.23556578;18.28571429
1.472;-17.19126322;18.36734694
1.473;-17.14626915;18.44897959
1.474;-17.10058775;18.53061224
1.475;-17.05422383;18.6122449
1.476;-17.00718283;18.69387755
1.477;-16.95947032;18.7755102
1.478;-16.91109142;18.85714286
1.479;-16.8620508;18.93877551
1.48;-16.81235386;19.02040816
1.481;-16.76200666;19.10204082
1.482;-16.71101542;19.18367347
1.483;-16.65938596;19.26530612
1.484;-16.60712369;19.34693878
1.485;-16.55423479;19.42857143
1.486;-16.50072615;19.51020408
1.487;-16.44660487;19.59183673
1.488;-16.39187768;19.67346939
1.489;-16.33655091;19.75510204
1.49;-16.2806317;19.83673469
1.491;-16.22412794;19.91836735
1.492;-16.16704774;20
1.493;-16.10939884;20.08163265
1.494;-16.05118868;20.16326531
1.495;-15.99242549;20.24489796
1.496;-15.93311826;20.32653061
1.497;-15.87327623;20.40816327
1.498;-15.81290833;20.48979592
1.499;-15.75202319;20.57142857
1.5;-15.69063028;20.65306122
1.501;-15.62873984;20.73469388
1.502;-15.56636234;20.81632653
1.503;-15.50350801;20.89795918
1.504;-15.44018682;20.97959184
1.505;-15.37640955;21.06122449
1.506;-15.31218771;21.14285714
1.507;-15.24753305;21.2244898
1.508;-15.18245709;21.30612245
1.509;-15.11697111;21.3877551
1.51;-15.05108716;21.46938776
1.511;-14.98481799;21.55102041
1.512;-14.91817656;21.63265306
1.513;-14.85117562;21.71428571
1.514;-14.78382773;21.79591837
1.515;-14.71614614;21.87755102
1.516;-14.64814479;21.95918367
1.517;-14.57983779;22.04081633
1.518;-14.51123908;22.12244898
1.519;-14.44236242;22.20408163
1.52;-14.37322224;22.28571429
1.521;-14.30383354;22.36734694
1.522;-14.23421151;22.44897959
1.523;-14.16437113;22.53061224
1.524;-14.09432724;22.6122449
1.525;-14.02409523;22.69387755
1.526;-13.953691;22.7755102
1.527;-13.88313058;22.85714286
1.528;-13.81242985;22.93877551
1.529;-13.74160445;23.02040816
1.53;-13.67067055;23.10204082
1.531;-13.59964473;23.18367347
1.532;-13.5285437;23.26530612
1.533;-13.45738395;23.34693878
1.534;-13.38618177;23.42857143
1.535;-13.31495384;23.51020408
1.536;-13.24371726;23.59183673
1.537;-13.17248916;23.67346939
1.538;-13.10128644;23.75510204
1.539;-13.03012569;23.83673469
1.54;-12.95902385;23.91836735
